summonerId,accountId,puuid,profileIconId,revisionDate,summonerLevel,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
F0JUBCKgRJZP1rHL6SEFNy3pkr7fSZuYAb-qPgp-TI_tGFo,xGWTJNiamljBCDRpPVEXjiHb5VQHivAUqmr5UhMP0qwzm705X5-90_Xw,eUL1H2x8mPNKbg5LjPV6QSmDyAbeIZhp0akeJWGecl4kPmULkJmsQPSnhLVajBkVUhwHzB2Uwu1pQg,4928,1731529662000,1053,862,I,261,230,False,False,True,False
7cJKxW5A-vMZHqWJOrYcd4Tcd2tGZeNl632xzwsr1gpQmm5cqMe047WX6A,686gLTpcc8m8670EiG3y2l-1jD4JUroRKmyq8uBBHmORCQ42ML3-UKt2,ftYH9fh3iOwAhdIPCgGZh9ftmEAEv5hH0HDXSUZ7SAl0FeyDjazGlAi1iA8xwTIxe41BH_KJiAVMmA,6408,1731744215726,106,860,I,139,102,False,False,False,False
AhNx5GfMRQSPjc2mLe4VbGBBwBEZuzMOeZERMTHkgOyeY1R4xsA5zsdWbQ,lOQdY4A8Tdc_bJPWnkZSuJGOvDRwNoBEvxgVKqBQfcf3VjqQJnVCVSCM,DsmlYk1fuvPlWK5O6pZ-cT7IXUq-dfQGw0eVDzcclq5JkDDs-roarSDU0kHDhDfX9qg4KNDd8j2I2g,6,1731676285561,591,859,I,219,181,False,False,True,True
MyVKwCexyB8ci-UAwdYY6E5AX2h1JDPcTtQtEVPUTtPcZ5ia55YTkYZjPA,6LXVmm15jkCuuaGFP7Lj7H0f6LpfWJiokb4qUaRTP0joCIv88rJ0enlW,yJ7WguuTysdFDep1K8qNgJroaagx-jYIXzU71YsiicepJ51wuULmftdhHx7phdCCef6Z7FOvyUJpfw,1385,1731750414028,485,859,I,171,146,False,False,False,False
yqTXkmte4kqcdJJBPhjy7dCKA8ljzo7hIQ4tog5K2TVL5LU,ye5_TKpYiwgc7kw5hZupFbVOVbkOun5bEm5bJPKYjSzrjBA,iYpybd_Kgk-IJGWW45IMWNgXajOPEUdOW_iXxQcRR_kpZU581GbkdUrrGeOJY_FuZw1BNDAL4L5XXQ,6695,1731664379000,597,858,I,95,54,False,False,True,False
JWKcWf3KJM0FX_MvHAZjiZz9laPIvjAga0QIxKwPY1g7Sg,UBQKuKdAep0NFf-t68U5rryPvCw27gaNNKsfEsKF8c29,wXFPKqmP3Wa0vnjdHBe2GXz9gmL0Dm6Z3-AJK_JUx0xDy3aP7nfKf1gyLk--1C4sZJ1PZurnWihkcg,4271,1731731613008,844,857,I,187,161,False,False,True,False
SXOyiwwQrZz-df1adLB_jk6ppVGRh_oTxy99IGVO7CJQzAdbfJdS01E22g,E5b8h6w7zSDRJhgv1faukQiSZqeQ0lSx-pL32sDrUZU_tNJ5ZMAo5OSe,Z2DUYob6wFF8GbvZiB2_Oo9N9bUFVY7hUAfY0ciCuyWC2ffLDEo8SjY9OhayCvlP-ifT8xGctmHCFQ,3018,1731668559467,126,855,I,204,168,False,False,False,False
uzc3CNSaeKk_ZEiA7zaQTzkI7YkwAv1UNRL_UnTr4EoKymo,JGTvCsxfdRpR8y9AAZhudLT_R4F7wqE6B3EfyzBSlwfnt5E,L7ri6vOZFHaZypK4H1y_tDf7erTVAwalZ0XoIPFRjnA71MojUSgBLM4vi4Yb1WofSaR5vLHiZwJGQw,1630,1731665879000,745,855,I,190,160,False,False,True,False
e8843JuSY5oVJZDm1d6oEpm5pSxWDJcrqrpw-M2Q8fyXX1E,JFAXFh1xMOZgC731cURNcHsi_eCpjnrnwE8FKfIj5xkzmh4,ZzbPN91JPt7QYypJtWlRGlujy3rJKX7IRJSi8iB2LP3G3k0Zp3q0qDg1Jp1S5sBdsHP3KSej6atn6w,5675,1731729203957,808,855,I,148,115,False,False,False,True
jVx5WtfMacWAXqxhdfyJlLNkW92KPH1FMZf46PXr3PGD5jA,7BMY_LPIKWikjsELAUKFiGPDRSFPOHMVgv_jIQyLvq_G7sAPFkcaiCoe,kT-RKy-FQl7_C33ttgv_8bh_4slSRb1eyNdG6uZ-VAOocwlM8xxhOqJUOYGAweYVcZPTqS1qOn079Q,6693,1731651048000,443,854,I,147,110,False,False,True,False
OE50FfbuVKM60pFjDdivtC9CqT2srMOW_VP_0fqt4pGyFG0,xHQc6KGjGx7-DDbgr2XGN3SJV7eibXUTt6AsyKk6SATYtsV1B7o6gJBf,TEh-_gi3erD2F7jTlijsvVaTB_8jkmY-jJfxJhe1CxglRGjqWnzafGOS8KySGTAoc5eRPQFdw4i7UA,5675,1731596044000,144,854,I,98,54,False,False,True,True
-HSuuR2qeIRddLHKorc32sBYmV3s8NR7suObwuvfgiCFwyKgq1zGO5gOpw,_17Xoe3qDfz9pGoDFpfudrFLSbFlvrkzXz9YU-LxrwhreNkvvBm6mA0Q,pvEL-57YnL6tYXR4RP9Vo3lI0-W3El8HP6DgIAWqPQYYpUC9WcGHqPjXhKS7HM9YiKP9dkrwAm7pzg,4293,1731747958411,178,853,I,306,263,False,False,True,False
qkksKaK6rSsT9IzoXOqDtb4no-B4XymF0HvNmIevnvRfR58,rU1uQ0m_pIaykz4xOtuVvDP13RxCajT2XBqfEem8ahOzn9M,w48u_T-F20ZoI6aEp99JV5YApZtJZ6IuVKqP2oQMH_TFswTmCU4XMW7orP0s3YLIH9tZuPRQEDWGxA,933,1731672826083,1178,852,I,113,87,True,False,False,False
Me0ZymR9eGYmLbR1HGF-eo2yNdb2Q8I73Ot9vNt-WUqV1qKQCAH-zpxeUg,tD6WNHbeVtqaatYmXThojZLJlTeau-iqhLsssap9pC6pziWKcA01D3ZB,9epNmxZnl8hXS1B5YwI4N70aYsBs7PY88-wXUBqrEzYiTAU_6z2y6tHqY4TejvmcrPgZhKUBktjV-Q,1298,1731710482600,152,851,I,197,164,False,False,True,False
1pfiYR4OgI14VuqdADYtJjpNr0kGY-JwiSwGZRNmTPkQeTI,_eXmCD0kA_B1JvrXTkFjuU8rAyXf83Cou4J7NoTl8XBWK-w,ZN4SopZTY-20RphJAir5R-2wa7UPgF-c1jMblry32Q7cjHj1OqWxjegDZw2kF0Xz86hWJ-ziU6J8eQ,4629,1731672195547,694,850,I,172,133,False,False,True,False
VDaJNoS-py-gqKLjn4DGvve4I5ZPHbanbPT4LEtvBHCOe8c,XWbySp8Yw4LkGg1iicMr7TZ97J7gmZQ_xqQ7Z7FpXu11syQ,so_4f0psl5PWDe4zEdHXsERxZEUUM5wQy8iZL_I-qDoC8kTk-ZIeVgJNT9JGpdVoYG7Gwi7VrNaDZg,7,1731673127658,90,850,I,163,103,False,False,True,True
QrpOOG7c53uPs3rw5dhEJV2sSpJUHuh0Uz_sec-fk3YOjLUAUoKnWr3K8Q,M4gW-9Md1_8QCSHbR8_0Ks7UtePDobJ4nry2gaN_IFFECZIIqX7QY_7r,PwGGIQcGwT_ZdOvalq5rC-WIN7C4Dua_nKB6JepQ7fuIJsfacEueiOohuorVfr4j5M7DVlVn5zl28w,6745,1731751326722,937,849,I,393,364,False,False,True,False
saxlqFTa4_ijULPm7A1-krLlbpUsdRwAhAFbUkuTZu15guZ1gb6OlAvYEA,iKzrjG5PwrcK4mRYRQm2vqoMIWZIZY7KDLx2lItB9pzfe_PoJNv9x1p9,BopFp6ViGwFpC0aZBnpD-6OFTG_Dqnfc570AS1W97hU1jeK0kvU8jqMuLY-LHQStMv6wZmv-9hUmBg,3018,1731609868000,78,849,I,166,134,True,False,False,False
uTtEJqMgqZvJ1d-FK-AnowGZcYg_pxEu78Ezx5mV11Gsfsvml86heMmNvA,XJsPaL30nLSOZHP6i7hBfpvy0TrKjXHPJXAgMUFIqoLe2fx-srbgrhBe,fAi7-X6Mot1WT0z_S1NbdKRUJE5iS1wzDEmbg56tVnYulEcEuBxI7TFA5254LxQnJ8JCeiuUgjf4FQ,6048,1731668300187,376,848,I,165,123,False,False,True,False
